Well,Value
A1,0.72
B2,0.52
C3,0.34
D4,
E5,0.89
F6,
G7,0.12
H8,
A9,0.61
B10,
C11,0.42
D12,
E1,
F2,0.93
G3,
H4,0.27
A5,
B6,0.55
C7,
D8,0.08
E9,
F10,0.77
G11,
H12,
A2,
B3,0.66
C4,
D5,0.19
E6,
F7,0.84
G8,
H9,0.31
A10,
B11,0.49
C12,
D1,0.91
E2,
F3,
G4,0.23
H5,
A6,0.58
B7,
C8,0.37
D9,
E10,0.73
F11,
G12,
H1,0.15
A3,
B4,0.64
C5,
D6,0.29
E7,
F8,0.81
G9,
H10,
A11,0.44
B12,
C1,
D2,0.97
E3,
F4,
G5,0.26
H6,
A7,0.53
B8,
C9,0.39
D10,
E11,0.68
F12,
G1,
H2,0.21
A4,
B5,0.59
C6,
D7,0.32
E8,
F9,0.76
G10,
H11,
A8,0.47
B9,
C10,0.35
D11,
E12,0.67
F1,
G2,
H3,0.18
A12,
B1,0.85
C2,
D3,0.22
E4,
F5,
G6,0.43
H7,
